[2026-01-07 18:27:57.710] [Info] [SystemSettingsMonitor] Starting System Settings monitoring...
[2026-01-07 18:27:59.141] [Info] [WMI] Process ended: ctfmon.exe | EventType=ProcessTerminated, Caption=ctfmon.exe, CommandLine=/QuitInfo:00000000000002D8;00000000000002A4; , Description=ctfmon.exe, Name=ctfmon.exe, ProcessId=20628
[2026-01-07 18:41:11.739] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:41:13.425] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:14.757] [Info] [WMI] Process started: Taskmgr.exe | EventType=ProcessCreated, Caption=Taskmgr.exe, CommandLine="C:\Windows\system32\taskmgr.exe" /4, Description=Taskmgr.exe, Name=Taskmgr.exe, ProcessId=15212
[2026-01-07 18:41:15.872] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:16.758] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:41:18.117] [Info] [WMI] Process started: svchost.exe | EventType=ProcessCreated, Caption=svchost.exe, Description=svchost.exe, Name=svchost.exe, ProcessId=19040
[2026-01-07 18:41:18.280] [Info] [WMI] Service changed: AppXSvc | EventType=ServiceModified, Caption=AppX Deployment Service (AppXSVC), Description=Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly., Name=AppXSvc, ProcessId=19040, State=Running, Status=OK
[2026-01-07 18:41:18.281] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:20.379] [Info] [WMI] Process started: postgres.exe | EventType=ProcessCreated, Caption=postgres.exe, Description=postgres.exe, Name=postgres.exe, ProcessId=21620
[2026-01-07 18:41:20.749] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:21.493] [Info] [WMI] Process ended: postgres.exe | EventType=ProcessTerminated, Caption=postgres.exe, Description=postgres.exe, Name=postgres.exe, ProcessId=21620
[2026-01-07 18:41:21.768] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:41:22.634] [Info] [WMI] Process started: taskhostw.exe | EventType=ProcessCreated, Caption=taskhostw.exe, CommandLine=taskhostw.exe, Description=taskhostw.exe, Name=taskhostw.exe, ProcessId=15256
[2026-01-07 18:41:22.634] [Info] [WMI] Process started: RuntimeBroker.exe | EventType=ProcessCreated, Caption=RuntimeBroker.exe, CommandLine=C:\Windows\System32\RuntimeBroker.exe -Embedding, Description=RuntimeBroker.exe, Name=RuntimeBroker.exe, ProcessId=7160
[2026-01-07 18:41:23.196] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:23.783] [Info] [WMI] Process started: sppsvc.exe | EventType=ProcessCreated, Caption=sppsvc.exe, Description=sppsvc.exe, Name=sppsvc.exe, ProcessId=18756
[2026-01-07 18:41:24.923] [Info] [WMI] Process ended: taskhostw.exe | EventType=ProcessTerminated, Caption=taskhostw.exe, CommandLine=taskhostw.exe, Description=taskhostw.exe, Name=taskhostw.exe, ProcessId=15256
[2026-01-07 18:41:25.643] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:25.643] [Info] [WMI] Service changed: sppsvc | EventType=ServiceModified, Caption=Software Protection, Description=Enables the download, installation and enforcement of digital licenses for Windows and Windows applications. If the service is disabled, the operating system and licensed applications may run in a notification mode. It is strongly recommended that you not disable the Software Protection service., Name=sppsvc, ProcessId=18756, State=Running, Status=OK
[2026-01-07 18:41:26.777] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:41:26.777] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:41:28.115] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:30.584] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:31.797] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:41:31.797] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:41:33.047] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:35.491] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:36.809] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:41:37.328] [Info] [SystemSettingsMonitor] Stopping System Settings monitoring...
[2026-01-07 18:41:37.361] [Info] [SystemSettingsMonitor] System Settings monitoring stopped
[2026-01-07 18:43:10.815] [Info] [SystemSettingsMonitor] Starting System Settings monitoring...
[2026-01-07 18:43:11.779] [Info] [SystemSettingsMonitor] System Settings monitoring started
[2026-01-07 18:43:12.283] [Info] [WMI] Process ended: chrome.exe | EventType=ProcessTerminated, Caption=chrome.exe, CommandLine="C:\Program Files\Google\Chrome\Application\chrome.exe" --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=71 --time-ticks-at-unix-epoch=-1767796650936569 --launch-time-ticks=2074061856 --metrics-shmem-handle=6568,i,2500579729017827465,10619319864957021775,2097152 --field-trial-handle=1928,i,10148407519673356248,550242268277324309,262144 --variations-seed-version=20260107-010038.635000 --trace-process-track-uuid=3190709052841842773 --mojo-platform-channel-handle=5712 /prefetch:1, Description=chrome.exe, Name=chrome.exe, ProcessId=13840
[2026-01-07 18:43:14.098] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:43:14.543] [Info] [WMI] Process ended: ctfmon.exe | EventType=ProcessTerminated, Caption=ctfmon.exe, CommandLine=/QuitInfo:0000000000000314;00000000000002E0; , Description=ctfmon.exe, Name=ctfmon.exe, ProcessId=3444
[2026-01-07 18:43:16.617] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:43:16.719] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:43:16.719] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:43:19.117] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:43:21.604] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:43:21.731] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:43:21.732] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:43:24.087] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:43:26.583] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:43:26.741] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:43:26.741] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:43:29.092] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:43:31.589] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:43:31.755] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:43:31.755] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:43:34.061] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:43:36.527] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:43:36.767] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:43:36.768] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:43:38.997] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:19.823] [Info] [SystemSettingsMonitor] Starting System Settings monitoring...
[2026-01-07 19:05:20.736] [Info] [SystemSettingsMonitor] System Settings monitoring started
[2026-01-07 19:05:22.942] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:23.503] [Info] [WMI] Process ended: ctfmon.exe | EventType=ProcessTerminated, Caption=ctfmon.exe, CommandLine=/QuitInfo:00000000000002DC;00000000000002EC; , Description=ctfmon.exe, Name=ctfmon.exe, ProcessId=6108
[2026-01-07 19:05:25.306] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:25.665] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 19:05:27.686] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:30.090] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:30.673] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 19:05:30.673] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 19:05:32.495] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:34.866] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:35.692] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 19:05:37.245] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:39.050] [Info] [WMI] Process ended: RuntimeBroker.exe | EventType=ProcessTerminated, Caption=RuntimeBroker.exe, CommandLine=C:\Windows\System32\RuntimeBroker.exe -Embedding, Description=RuntimeBroker.exe, Name=RuntimeBroker.exe, ProcessId=18048
[2026-01-07 19:05:39.592] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:40.714] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 19:05:40.714] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 19:05:41.966] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:44.312] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:44.659] [Info] [WMI] Process started: Notepad.exe | EventType=ProcessCreated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\FileSystem_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=1780
[2026-01-07 19:05:45.720] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 19:05:45.721] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 19:05:45.770] [Info] [WMI] Process started: dllhost.exe | EventType=ProcessCreated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=13960
[2026-01-07 19:05:46.675] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:49.051] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:50.736] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 19:05:51.336] [Info] [WMI] Process ended: dllhost.exe | EventType=ProcessTerminated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=13960
[2026-01-07 19:05:51.431] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:53.811] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:56.189] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:58.545] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:05:59.135] [Info] [WMI] Process ended: Notepad.exe | EventType=ProcessTerminated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\FileSystem_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=1780
[2026-01-07 19:05:59.136] [Info] [WMI] Process started: Notepad.exe | EventType=ProcessCreated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\Registry_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=25060
[2026-01-07 19:06:00.252] [Info] [WMI] Process started: dllhost.exe | EventType=ProcessCreated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=6292
[2026-01-07 19:06:00.772] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 19:06:00.772] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 19:06:00.898] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:06:03.235] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:06:05.589] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:06:05.778] [Info] [WMI] Process ended: dllhost.exe | EventType=ProcessTerminated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=6292
[2026-01-07 19:06:05.784] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 19:06:06.888] [Info] [WMI] Process ended: Notepad.exe | EventType=ProcessTerminated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\Registry_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=25060
[2026-01-07 19:06:07.939] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:06:08.034] [Info] [WMI] Process started: Notepad.exe | EventType=ProcessCreated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\Services_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=8796
[2026-01-07 19:06:09.149] [Info] [WMI] Process started: dllhost.exe | EventType=ProcessCreated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=14004
[2026-01-07 19:06:10.322] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:06:10.793] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 19:06:11.338] [Info] [WMI] Process ended: chrome.exe | EventType=ProcessTerminated, Caption=chrome.exe, Description=chrome.exe, Name=chrome.exe, ProcessId=25072
[2026-01-07 19:06:12.709] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:06:13.548] [Info] [WMI] Process ended: dllhost.exe | EventType=ProcessTerminated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=14004
[2026-01-07 19:06:14.667] [Info] [WMI] Process ended: Notepad.exe | EventType=ProcessTerminated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\Services_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=8796
[2026-01-07 19:06:15.071] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:06:15.806] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 19:06:17.431] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:06:19.813] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 19:06:22.172] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
